Elijus,Savickas,8,6,7,7,5,7,6,8,5,8,8,4,7,6,5
Erika,Savickaitė,4,9,9,8,7,5,5,10,9,8,10,7,4,9,7
Gabrielė,Butkutė,10,8,6,8,6,4,4,9,8,7,8,6,9,10,8
Ingrida,Kazlauskaitė,5,8,4,9,8,8,4,6,10,4,6,8,6,9,10
Kamilė,Paulauskaitė,10,6,8,8,9,7,4,8,10,8,6,5,10,4,8
Martynas,Butkus,8,8,10,5,9,7,8,4,7,5,10,10,7,4,9
Nojus,Stankevičius,7,10,4,7,5,10,10,5,5,5,4,6,9,6,7
Ričardas,Petrauskas,7,10,4,7,10,5,10,8,5,9,10,4,8,7,6
Rūta,Kazlauskaitė,5,4,4,10,9,5,9,9,6,8,9,8,7,8,8
Simas,Žukauskas,9,5,10,4,4,8,10,6,9,4,8,5,5,7,5
